id,filename,org,doc,year,url,topic,pages
77,ss-Grape Seed Extract.pdf,NIH / NCCIH,Grape Seed Extract,2020,https://www.nccih.nih.gov/health/grape-seed-extract,膳食补充剂与保健品,1-3
78,ss-Red wine and resveratrol： Good for your heart？.pdf,Mayo Clinic,Red wine and resveratrol: Good for your heart?,2026,https://www.mayoclinic.org/diseases-conditions/heart-disease/in-depth/red-wine/art-20048281,膳食补充剂与保健品,1-5
79,ss-Momordica charantia for type 2 diabetes mellitus.pdf,Cochrane 协作网,Momordica charantia for type 2 diabetes mellitus,2012,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD007845.pub3/information/pl,膳食补充剂与保健品,3-16
80,ss-Sexual Enhancement and Energy Product Notifications.pdf,FDA,Sexual Enhancement and Energy Product Notifications,2026,https://www.fda.gov/drugs/medication-health-fraud-notifications/sexual-enhancement-and-energy-product-notifications,膳食补充剂与保健品,1-3
81,ss-Folic Acid Supplementation to Prevent Neural Tube Defects： Preventive Medication.pdf,USPSTF,Folic Acid Supplementation to Prevent Neural Tube Defects: Preventive Medication,2023,https://www.uspreventiveservicestaskforce.org/uspstf/recommendation/folic-acid-for-the-prevention-of-neural-tube-defects-preventive-medication,膳食补充剂与保健品,1-9
82,ss-Folic acid supplementation for stroke prevention： A systematic review and meta-analysis of 21 randomized clinical trials.pdf,PubMed (期刊研究),Folic acid supplementation for stroke prevention: A systematic review and meta-analysis of 21 randomized clinical trials worldwide,2023,https://pubmed.ncbi.nlm.nih.gov/38824900/,膳食补充剂与保健品,
83,ss-Do collagen supplements fulfill their promises？.pdf,Harvard Health,Do collagen supplements fulfill their promises?,2025,https://www.health.harvard.edu/healthy-aging-and-longevity/do-collagen-supplements-fulfill-their-promises,膳食补充剂与保健品,1-10
84,ss-Garlic for the common cold.pdf,Cochrane 协作网,Garlic for the common cold,2014,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD006206.pub4/full,膳食补充剂与保健品,1-2
85,ss-Dietary Supplements for Weight Loss - Consumer Fact Sheet.pdf,NIH / ODS,Dietary Supplements for Weight Loss - Consumer Fact Sheet,2024,https://ods.od.nih.gov/factsheets/WeightLoss-Consumer/,膳食补充剂与保健品,3-11
86,ss-Amylase／lipase／pancrelipase／protease (oral route) - Side effects & dosage.pdf,Mayo Clinic,Amylase/lipase/pancrelipase/protease (oral route) - Side effects & dosage,2024,https://www.mayoclinic.org/drugs-supplements/amylase-lipase-pancrelipase-protease-oral-route/description/drg-20065293,膳食补充剂与保健品,1-12
87,ss-Wheat grass - About Herbs.pdf,MSKCC,Wheat grass - About Herbs,2023,https://www.mskcc.org/cancer-care/integrative-medicine/herbs/wheat-grass,膳食补充剂与保健品,1-12
88,ss-Astaxanthin Influence on Health Outcomes of Adults at Risk of Metabolic Syndrome： A Systematic Review and Meta-Analysis.pdf,Nutrients (PubMed),Astaxanthin Influence on Health Outcomes of Adults at Risk of Metabolic Syndrome: A Systematic Review and Meta-Analysis,2022,https://pubmed.ncbi.nlm.nih.gov/35631193/,膳食补充剂与保健品,1-5
89,ss-Systemic Glutathione as a Skin-Whitening Agent in Adult.pdf,Dermatol Res Pract (PubMed),Systemic Glutathione as a Skin-Whitening Agent in Adult,2020,https://pubmed.ncbi.nlm.nih.gov/32373172/,膳食补充剂与保健品,1-15
90,jf-WHO advises not to use non-sugar sweeteners for weight control in newly released guideline.pdf,世界卫生组织 (WHO),WHO advises not to use non-sugar sweeteners for weight control in newly released guideline,2023,https://www.who.int/news/item/15-05-2023-who-advises-not-to-use-non-sugar-sweeteners-for-weight-control-in-newly-released-guideline,减肥与代谢,1-6
91,jf-Intermittent fasting for adults with overweight or obesity.pdf,Cochrane Database of Systematic Reviews,Intermittent fasting for adults with overweight or obesity,2024,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD015610.pub2/abstract,减肥与代谢,1-2
92,jf-Negative-calorie foods still count.pdf,Academy of Nutrition and Dietetics,Negative-calorie foods still count,2023,https://www.eatright.org/health/wellness/diet-trends/negative-calorie-foods-still-count,减肥与代谢,3-16
93,jf-A systematic review and meta-analysis of the effectiveness of meal replacements for weight loss.pdf,PubMed (Obesity Reviews),A systematic review and meta-analysis of the effectiveness of meal replacements for weight loss,2019,https://pubmed.ncbi.nlm.nih.gov/30675990/,减肥与代谢,1-2
94,jf-Green tea for weight loss and weight maintenance in overweight or obese adults.pdf,Cochrane Database of Systematic Reviews,Green tea for weight loss and weight maintenance in overweight or obese adults,2012,https://www.cochrane.org/evidence/CD008650_green-tea-weight-loss-and-weight-maintenance-overweight-or-obese-adults,减肥与代谢,1-18
95,jf-Low-carbohydrate diets or balanced-carbohydrate diets： which works better for weight loss and heart disease？.pdf,Cochrane Database of Systematic Reviews,Low-carbohydrate diets or balanced-carbohydrate diets: which works better for weight loss and heart disease?,2022,https://www.cochrane.org/evidence/CD013334_low-carbohydrate-diets-or-balanced-carbohydrate-diets-which-works-better-weight-loss-and-heart,减肥与代谢,1-2
96,jf-Apple cider vinegar for weight loss.pdf,Mayo Clinic (妙佑医疗国际),Apple cider vinegar for weight loss,2024,https://www.mayoclinic.org/healthy-lifestyle/weight-loss/expert-answers/apple-cider-vinegar-for-weight-loss/faq-20058394,减肥与代谢,1-4
97,jf-Dietary Supplements for Weight Loss (Fact Sheet for Consumers).pdf,NIH 膳食补充剂办公室 (ODS),Dietary Supplements for Weight Loss (Fact Sheet for Consumers),2023,https://ods.od.nih.gov/pdf/factsheets/WeightLoss-Consumer.pdf,减肥与代谢,1-2
98,jf-Weight loss after pregnancy： Reclaiming your body.pdf,Mayo Clinic (妙佑医疗国际),Weight loss after pregnancy: Reclaiming your body,2017,https://newsnetwork.mayoclinic.org/discussion/womens-wellness-breast-feeding-and-weight-loss/,减肥与代谢,1-7
99,jf-肥胖症诊疗指南（2024年版）.pdf,国家卫健委,肥胖症诊疗指南（2024年版）,2024,https://www.nhc.gov.cn/ylyjs/zcwj/202412/75cb79c171c94def9e768193e65484f7/files/1736390749000_59785.pdf,减肥与代谢,1-3
100,jf-中国居民膳食指南（2022） (中国营养学会).pdf,中国营养学会,中国居民膳食指南（2022）,2022,http://dg.cnsoc.org/article/04/J4-AsD_DR3OLQMnHG0-jZA.html,减肥与代谢,1-30
101,jf-“Detoxes” and “Cleanses”： What You Need To Know.pdf,NIH 国家补充与整合卫生中心 (NCCIH),“Detoxes” and “Cleanses”: What You Need To Know,2019,https://www.nccih.nih.gov/health/detoxes-and-cleanses-what-you-need-to-know,减肥与代谢,1-369
102,jf-Spilling the Beans： How Much Caffeine is Too Much？.pdf,美国食品药品监督管理局 (FDA),Spilling the Beans: How Much Caffeine is Too Much?,2023,https://www.fda.gov/consumers/consumer-updates/spilling-beans-how-much-caffeine-too-much,减肥与代谢,1-6
103,jf-Clinical Practice Guideline for the Evaluation and Treatment of Children and Adolescents With Obesity.pdf,美国儿科学会 (AAP),Clinical Practice Guideline for the Evaluation and Treatment of Children and Adolescents With Obesity,2023,https://www.hscsnhealthplan.org/sites/default/files/Obesity%20-%20AAP%202023%20CPG%20for%20the%20Eval%20%26%20Tx%20of%20Children%20%26%20Adolescents%20with%20Obesity.pdf,减肥与代谢,1-4
104,jf-Bariatric Surgery Side Effects.pdf,NIH 国家糖尿病与消化及肾脏疾病研究所 (NIDDK),Bariatric Surgery Side Effects,2015,https://www.niddk.nih.gov/health-information/weight-management/bariatric-surgery/side-effects,减肥与代谢,1-73
105,jf-Acupuncture for Treatment of Obesity： An Umbrella Review.pdf,PubMed (JAMA Network Open),Acupuncture for Treatment of Obesity: An Umbrella Review,2024,https://pubmed.ncbi.nlm.nih.gov/41071083/,减肥与代谢,1-2
106,jf-Effects of fasted vs fed-state exercise on performance and post-exercise metabolism： A systematic review and meta-analys.pdf,PubMed (Scand J Med Sci Sports),Effects of fasted vs fed-state exercise on performance and post-exercise metabolism: A systematic review and meta-analysis,2018,https://pubmed.ncbi.nlm.nih.gov/29315892/,减肥与代谢,1-9
107,jf-Impact of Meal Frequency on Anthropometric Outcomes： A Systematic Review and Network Meta-Analysis of Randomized Control.pdf,PubMed (Advances in Nutrition),Impact of Meal Frequency on Anthropometric Outcomes: A Systematic Review and Network Meta-Analysis of Randomized Controlled Trials,2020,https://pubmed.ncbi.nlm.nih.gov/32437566/,减肥与代谢,1-18
108,jf-Dietary fats： Know which types to choose.pdf,Mayo Clinic (妙佑医疗国际),Dietary fats: Know which types to choose,2024,https://www.mayoclinic.org/healthy-lifestyle/nutrition-and-healthy-eating/in-depth/fat/art-20045550,减肥与代谢,1-15
109,jf-Metabolism and weight loss： How you burn calories.pdf,Mayo Clinic (妙佑医疗国际),Metabolism and weight loss: How you burn calories,2026,https://www.mayoclinic.org/healthy-lifestyle/weight-loss/in-depth/metabolism/art-20046508,减肥与代谢,1-5
110,jf-How to choose the right weight loss program for your lifestyle.pdf,Mayo Clinic (妙佑医疗国际),How to choose the right weight loss program for your lifestyle,2025,https://diet.mayoclinic.org/us/blog/2025/how-to-choose-the-right-weight-loss-program-for-your-lifestyle/,减肥与代谢,1-4
111,jf-Top 10 workout myths.pdf,Mayo Clinic (妙佑医疗国际),Top 10 workout myths,2020,https://newsnetwork.mayoclinic.org/discussion/mayo-clinic-q-and-a-top-10-workout-myths/,减肥与代谢,1-7
112,jf-Liposuction.pdf,Mayo Clinic (妙佑医疗国际),Liposuction,2024,https://www.mayoclinic.org/tests-procedures/liposuction/about/pac-20384586,减肥与代谢,1-4
113,jf-Effect of breakfast on weight and energy intake： systematic review and meta-analysis of randomised controlled trials.pdf,BMJ (英国医学杂志),Effect of breakfast on weight and energy intake: systematic review and meta-analysis of randomised controlled trials,2019,https://pmc.ncbi.nlm.nih.gov/articles/PMC6352874/,减肥与代谢,1-2
114,"jf-Dietary Supplements Marketed for Weight Loss, Bodybuilding, and Sexual Enhancement：What the Science Says.pdf",NIH 国家补充与整合卫生中心 (NCCIH),"Dietary Supplements Marketed for Weight Loss, Bodybuilding, and Sexual Enhancement：What the Science Says",2022,https://www.nccih.nih.gov/health/providers/digest/dietary-supplements-marketed-for-weight-loss-bodybuilding-and-sexual-enhancement-science,减肥与代谢,1-32
115,jf-Physical Activity and Your Weight.pdf,美国疾病控制与预防中心 (CDC),Physical Activity and Your Weight,2023,https://www.cdc.gov/healthy-weight-growth/physical-activity/index.html,减肥与代谢,1-7
116,yy-Foods and Drinks to Avoid or Limit.pdf,美国疾病控制与预防中心 (CDC),Foods and Drinks to Avoid or Limit,2026,yy-Foods and Drinks to Avoid or Limit.pdf,婴幼儿喂养儿童用药疫苗犹豫,1-3
117,yyr-Foods and Drinks to Encourage.pdf,美国疾病控制与预防中心 (CDC),Foods and Drinks to Encourage,2026,https://www.cdc.gov/infant-toddler-nutrition/foods-and-drinks/foods-and-drinks-to-encourage.html,婴幼儿喂养儿童用药疫苗犹豫,1-3
118,yyr-Vitamin D.pdf,美国疾病控制与预防中心 (CDC),Vitamin D,2022,https://www.cdc.gov/breastfeeding-special-circumstances/hcp/diet-micronutrients/vitamin-d.html,婴幼儿喂养儿童用药疫苗犹豫,1-3
119,yyr-Breastfeeding (Fact Sheet).pdf,世界卫生组织 (WHO),Breastfeeding (Fact Sheet),2023,https://www.who.int/health-topics/breastfeeding,婴幼儿喂养儿童用药疫苗犹豫,1-2
120,yyr-中国婴幼儿喂养指南（2022）.pdf,中国营养学会 (CNS),中国婴幼儿喂养指南（2022）,2022,http://dg.cnsoc.org/article/04/gc5cUak3RhSGheqSaRljnA.html,婴幼儿喂养儿童用药疫苗犹豫,1-3
121,yyr-7~24月龄婴幼儿喂养指南.pdf,中国营养学会 (CNS),7~24月龄婴幼儿喂养指南,2015,http://dg.cnsoc.org/article/04/8a2389fd5520b4f30155a5d4d78621c4.html,婴幼儿喂养儿童用药疫苗犹豫,1-2
122,"yyr-Fruit Juice in Infants, Children, and Adolescents.pdf",美国儿科学会 (AAP),"Fruit Juice in Infants, Children, and Adolescents",2017,https://publications.aap.org/pediatrics/article/139/6/e20170967/38754/Fruit-Juice-in-Infants-Children-and-Adolescents,婴幼儿喂养儿童用药疫苗犹豫,1-2
123,yyr-Cow's Milk and Milk Alternatives.pdf,美国疾病控制与预防中心 (CDC),Cow's Milk and Milk Alternatives,2026,https://www.cdc.gov/infant-toddler-nutrition/foods-and-drinks/cows-milk-and-milk-alternatives.html,婴幼儿喂养儿童用药疫苗犹豫,1-5
124,yyr-A Baby-Led Approach to Eating Solids and Risk of Choking.pdf,Pediatrics (美国儿科学会期刊),A Baby-Led Approach to Eating Solids and Risk of Choking,2016,https://pubmed.ncbi.nlm.nih.gov/27647715/,婴幼儿喂养儿童用药疫苗犹豫,1-2
125,yyr-Early additional food and fluids for healthy breastfed full-term infants.pdf,Cochrane Library,Early additional food and fluids for healthy breastfed full-term infants,2018,https://www.cochrane.org/evidence/CD006462_early-additional-food-and-fluids-healthy-breastfed-full-term-infants,婴幼儿喂养儿童用药疫苗犹豫,1-7
126,yyr-Nutrient-enriched formula versus standard formula for preterm infants following hospital discharge.pdf,Cochrane Library,Nutrient-enriched formula versus standard formula for preterm infants following hospital discharge,2017,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD004696.pub5/full,婴幼儿喂养儿童用药疫苗犹豫,1-2
127,yyr-Early versus late refeeding for children with acute diarrhoea.pdf,Cochrane Library,Early versus late refeeding for children with acute diarrhoea,2011,https://pubmed.ncbi.nlm.nih.gov/21735409/,婴幼儿喂养儿童用药疫苗犹豫,3-22
128,yyr-Combined and alternating paracetamol and ibuprofen therapy for febrile children.pdf,Cochrane Library,Combined and alternating paracetamol and ibuprofen therapy for febrile children,2013,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD009572.pub2/full,婴幼儿喂养儿童用药疫苗犹豫,3-31
129,yyr-Febrile Seizures.pdf,美国儿科学会 (HealthyChildren),Febrile Seizures,2025,https://www.healthychildren.org/English/health-issues/conditions/fever/Pages/Febrile-Seizures.aspx,婴幼儿喂养儿童用药疫苗犹豫,3-46
130,yyr-小朋友发热了吗？（基于中国儿童单期急性发热专家共识）.pdf,中华医学会 (CMA),小朋友发热了吗？（基于中国儿童单期急性发热专家共识）,2024,https://www.cma.org.cn/art/2024/6/6/art_4584_56918.html,婴幼儿喂养儿童用药疫苗犹豫,1-2
131,yyr-Use Caution When Giving Cough and Cold Products to Kids.pdf,美国食品药品监督管理局 (FDA),Use Caution When Giving Cough and Cold Products to Kids,2023,https://www.fda.gov/drugs/safe-use-over-counter-otc-medicines-children/use-caution-when-giving-cough-and-cold-products-kids,婴幼儿喂养儿童用药疫苗犹豫,1-2
132,yyr-Preventing and Managing Common Cold.pdf,美国疾病控制与预防中心 (CDC),Preventing and Managing Common Cold,2024,https://www.cdc.gov/common-cold/media/pdfs/2024/04/CommonCold_fact_sheet_508.pdf,婴幼儿喂养儿童用药疫苗犹豫,1-3
133,yyr-Probiotics for the Management of Pediatric Gastrointestinal Disorders.pdf,欧洲儿童胃肠肝病营养学会 (ESPGHAN),Probiotics for the Management of Pediatric Gastrointestinal Disorders,2022,https://afpa.org/content/uploads/2025/01/J-pediatr-gastroenterol-nutr-2022-Szajewska-Probiotics-for-the-Management-of-Pediatric-Gastrointestinal-Disorders.pdf,婴幼儿喂养儿童用药疫苗犹豫,1-2
134,yyr-Probiotics for the management of functional abdominal pain disorders in children.pdf,Cochrane Library,Probiotics for the management of functional abdominal pain disorders in children,2021,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD012849.pub2/full,婴幼儿喂养儿童用药疫苗犹豫,1-12
135,yyr-糖皮质激素雾化吸入疗法在儿科应用的专家共识.pdf,中华医学会 (CMA),糖皮质激素雾化吸入疗法在儿科应用的专家共识,2018,https://ts-cms.jundaodsj.com/file/162581288861309.pdf,婴幼儿喂养儿童用药疫苗犹豫,3-97
136,"yyr-Vaccines for measles, mumps, rubella, and varicella in children.pdf",Cochrane Library,"Vaccines for measles, mumps, rubella, and varicella in children",2020,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD004407.pub4/full,婴幼儿喂养儿童用药疫苗犹豫,1-4
137,yyr-Multiple Vaccines at Once.pdf,美国疾病控制与预防中心 (CDC),Multiple Vaccines at Once,2024,https://www.cdc.gov/vaccine-safety/about/multiples.html,婴幼儿喂养儿童用药疫苗犹豫,5-426
138,yyr-Thimerosal and Vaccines.pdf,美国疾病控制与预防中心 (CDC),Thimerosal and Vaccines,2020,https://archive.cdc.gov/www_cdc_gov/vaccinesafety/concerns/thimerosal/index.html,婴幼儿喂养儿童用药疫苗犹豫,1-3
139,"yyr-Vaccines Before, During, and After Pregnancy.pdf",美国疾病控制与预防中心 (CDC),"Vaccines Before, During, and After Pregnancy",2024,https://www.cdc.gov/vaccines-pregnancy/moms-to-be/index.html,婴幼儿喂养儿童用药疫苗犹豫,1-3
140,yyr-Tdap Vaccination During Pregnancy.pdf,美国疾病控制与预防中心 (CDC),Tdap Vaccination During Pregnancy,2025,https://www.cdc.gov/pertussis/vaccines/tdap-vaccination-during-pregnancy.html,婴幼儿喂养儿童用药疫苗犹豫,1-2
141,yyr-Principles of Vaccination.pdf,美国疾病控制与预防中心 (CDC),Principles of Vaccination,2024,https://www.cdc.gov/pinkbook/hcp/table-of-contents/chapter-1-principles-of-vaccination.html,婴幼儿喂养儿童用药疫苗犹豫,1-3
142,yyr-Chickenpox (Varicella) Clinical Overview.pdf,美国疾病控制与预防中心 (CDC),Chickenpox (Varicella) Clinical Overview,2024,https://www.cdc.gov/chickenpox/hcp/clinical-overview/index.html,婴幼儿喂养儿童用药疫苗犹豫,1-3
143,yyr-狂犬病暴露后处置工作规范（2023年版）.pdf,国家卫生健康委员会 (NHC),狂犬病暴露后处置工作规范（2023年版）,2023,https://html.rhhz.net/zhlxbx/20231001.htm,婴幼儿喂养儿童用药疫苗犹豫,1-5
144,yyr-Rabies Fact Sheet.pdf,世界卫生组织 (WHO),Rabies Fact Sheet,2024,https://www.who.int/news-room/fact-sheets/detail/rabies,婴幼儿喂养儿童用药疫苗犹豫,1-8
145,az-Common Cancer Myths and Misconceptions.pdf,美国国家癌症研究所 (NCI),Common Cancer Myths and Misconceptions,2024,https://www.cancer.gov/about-cancer/causes-prevention/risk/myths,癌症预防/防癌谣言,1-7
146,az-Common Cancer Myths and Misconceptions-2.pdf,美国国家癌症研究所 (NCI),Common Cancer Myths and Misconceptions,2024,https://www.cancer.gov/about-cancer/causes-prevention/risk/myths,癌症预防/防癌谣言,1-5
147,az-Cancer treatment myths.pdf,梅奥医学中心 (Mayo Clinic),Cancer treatment myths,2024,https://www.mayoclinic.org/zh-hans/tests-procedures/cancer-treatment/in-depth/cancer/art-20046762,癌症预防/防癌谣言,1-5
148,az-科学饮水重在适量、适时和卫生（新闻发布会文字实录）.pdf,中华人民共和国国家卫生健康委员会 (NHC),科学饮水重在适量、适时和卫生（新闻发布会文字实录）,2024,https://www.nhc.gov.cn/wjw/c100365/hdjl_xwfbh_detail.shtml?id=fef443462d894a7f9c5f57dd6b509d1f,癌症预防/防癌谣言,1-5
149,az-Common Cancer Myths and Misconceptions-3.pdf,美国国家癌症研究所 (NCI),Common Cancer Myths and Misconceptions,2024,https://www.cancer.gov/about-cancer/causes-prevention/risk/myths,癌症预防/防癌谣言,1-9
150,az-Common Cancer Myths and Misconceptions-4.pdf,美国国家癌症研究所 (NCI),Common Cancer Myths and Misconceptions,2024,https://www.cancer.gov/about-cancer/causes-prevention/risk/myths,癌症预防/防癌谣言,1-5
151,az-Common Cancer Myths and Misconceptions-5.pdf,美国国家癌症研究所 (NCI),Common Cancer Myths and Misconceptions,2024,https://www.cancer.gov/about-cancer/causes-prevention/risk/myths,癌症预防/防癌谣言,1-5
152,az-Fluoridated Water and Cancer Risk.pdf,美国国家癌症研究所 (NCI),Fluoridated Water and Cancer Risk,2022,https://www.cancer.gov/about-cancer/causes-prevention/risk/myths/fluoridated-water-fact-sheet,癌症预防/防癌谣言,1-5
153,"az-Systematic review of the association between dietary acid load, alkaline water and cancer.pdf",PubMed / BMJ Open,"Systematic review of the association between dietary acid load, alkaline water and cancer",2016,https://pubmed.ncbi.nlm.nih.gov/27297008/,癌症预防/防癌谣言,1-4
154,az-Green tea (Camellia sinensis) for the prevention of cancer.pdf,Cochrane 协作网库 (Cochrane Library),Green tea (Camellia sinensis) for the prevention of cancer,2020,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD005004.pub3/full,癌症预防/防癌谣言,1-4
155,az-Common Cancer Myths and Misconceptions-6.pdf,美国国家癌症研究所 (NCI),Common Cancer Myths and Misconceptions,2024,https://www.cancer.gov/about-cancer/causes-prevention/risk/myths,癌症预防/防癌谣言,4-280
156,az-Common Cancer Myths and Misconceptions-7.pdf,美国国家癌症研究所 (NCI),Common Cancer Myths and Misconceptions,2024,https://www.cancer.gov/about-cancer/causes-prevention/risk/myths,癌症预防/防癌谣言,1-5
157,az-Antiperspirants／Deodorants and Breast Cancer.pdf,美国国家癌症研究所 (NCI),Antiperspirants/Deodorants and Breast Cancer,2024,https://www.cancer.gov/about-cancer/causes-prevention/risk/myths/antiperspirants-fact-sheet,癌症预防/防癌谣言,1-5
158,az-食用大豆是否会增加我患乳腺癌的风险？.pdf,梅奥医学中心 (Mayo Clinic),食用大豆是否会增加我患乳腺癌的风险？,2024,https://www.mayoclinic.org/zh-hans/healthy-lifestyle/nutrition-and-healthy-eating/expert-answers/soy-breast-cancer-risk/faq-20120377,癌症预防/防癌谣言,1-3
159,az-Hair Dyes and Cancer Risk.pdf,美国国家癌症研究所 (NCI),Hair Dyes and Cancer Risk,2020,https://www.cancer.gov/about-cancer/causes-prevention/risk/substances/hair-dyes-fact-sheet,癌症预防/防癌谣言,1-2
160,az-IARC Monographs Q&A on the carcinogenicity of the consumption of red meat and processed meat.pdf,世界卫生组织国际癌症研究机构 (IARC/WHO),IARC Monographs Q&A on the carcinogenicity of the consumption of red meat and processed meat,2015,https://www.iarc.who.int/wp-content/uploads/2018/11/Monographs-QA_Vol114.pdf,癌症预防/防癌谣言,1-3
161,az-Intravenous Vitamin C (PDQ®)–Patient Version.pdf,美国国家癌症研究所 (NCI),Intravenous Vitamin C (PDQ®)–Patient Version,2024,https://www.cancer.gov/about-cancer/treatment/cam/patient/vitamin-c-pdq,癌症预防/防癌谣言,1-5
162,az-Aspartame hazard and risk assessment results released.pdf,世界卫生组织 (WHO),Aspartame hazard and risk assessment results released,2023,https://www.who.int/news/item/14-07-2023-aspartame-hazard-and-risk-assessment-results-released,癌症预防/防癌谣言,1-7
163,az-Association between constipation and colorectal cancer： systematic review and meta-analysis of observational studies.pdf,PubMed / Am J Gastroenterol,Association between constipation and colorectal cancer: systematic review and meta-analysis of observational studies,2013,https://pubmed.ncbi.nlm.nih.gov/23481143/,癌症预防/防癌谣言,1-3
164,az-About Herbs： Dandelion.pdf,纪念斯隆-凯特琳癌症中心 (MSKCC),About Herbs: Dandelion,2024,https://www.mskcc.org/cancer-care/integrative-medicine/herbs/dandelion,癌症预防/防癌谣言,1-8
